Full Name,Student ID,Contact Number,Email,Password,Teacher,Grades,Section
Camille Pascual,6717382610533,9566296346,camillepascual@pnhs.edu.ph,PASCUAL,Tom Flestado,"[88, 90, 90, 81, 87, 76, 80, 87, 75]",Rose Garden
Samuel Calimag,6717381790652,9562970309,samuelcalimag@pnhs.edu.ph,CALIMAG,Tom Flestado,"[87, 83, 100, 100, 89, 84, 88, 97, 98]",Rose Garden
Crisanto Mirasol,6717383318961,9772808390,crisantomirasol@pnhs.edu.ph,MIRASOL,Tom Flestado,"[100, 92, 96, 97, 90, 79, 81, 84, 81]",Rose Garden
Hernando Abubakar,6717387767252,9473856854,hernandoabubakar@pnhs.edu.ph,ABUBAKAR,Tom Flestado,"[76, 93, 98, 92, 76, 98, 85, 76, 76]",Rose Garden
Bonifacio Delos Reyes,6717380787328,9265887088,bonifaciodelosreyes@pnhs.edu.ph,DELOS REYES,Tom Flestado,"[93, 90, 91, 91, 80, 76, 91, 77, 80]",Rose Garden
Christian Magpayo,6717386743506,9496084242,christianmagpayo@pnhs.edu.ph,MAGPAYO,Tom Flestado,"[77, 94, 77, 96, 82, 87, 78, 93, 82]",Rose Garden
Francis Espiritu,6717384854781,9183760004,francisespiritu@pnhs.edu.ph,ESPIRITU,Tom Flestado,"[93, 94, 76, 94, 77, 88, 96, 93, 93]",Rose Garden
Arsenio Dacanay,6717383325378,9479400520,arseniodacanay@pnhs.edu.ph,DACANAY,Tom Flestado,"[91, 85, 83, 81, 96, 97, 85, 82, 83]",Rose Garden
Andrei Villafuerte,6717385536409,9483486065,andreivillafuerte@pnhs.edu.ph,VILLAFUERTE,Tom Flestado,"[87, 79, 96, 95, 84, 89, 85, 99, 77]",Rose Garden
Violeta Lacuesta,6717380779727,9672329592,violetalacuesta@pnhs.edu.ph,LACUESTA,Tom Flestado,"[75, 89, 94, 93, 78, 77, 92, 81, 91]",Rose Garden
Mark Castillo,6717389886827,9554125161,markcastillo@pnhs.edu.ph,CASTILLO,Tom Flestado,"[83, 79, 86, 77, 82, 86, 84, 80, 89]",Rose Garden
Maria Santos,6717381938482,9218838050,mariasantos@pnhs.edu.ph,SANTOS,Tom Flestado,"[92, 97, 84, 94, 100, 95, 91, 75, 96]",Rose Garden
Ronaldo Torres,6717383966437,9219833809,ronaldotorres@pnhs.edu.ph,TORRES,Tom Flestado,"[92, 84, 96, 78, 79, 83, 78, 78, 98]",Rose Garden
Paolo Hernandez,6717387936279,9569022060,paolohernandez@pnhs.edu.ph,HERNANDEZ,Tom Flestado,"[92, 79, 83, 84, 94, 81, 97, 85, 81]",Rose Garden
Nenita Buenaobra,6717387228654,9491327039,nenitabuenaobra@pnhs.edu.ph,BUENAOBRA,Tom Flestado,"[96, 95, 83, 91, 90, 83, 76, 77, 95]",Rose Garden
Rhea Concepcion,6717380709916,9569221044,rheaconcepcion@pnhs.edu.ph,CONCEPCION,Tom Flestado,"[88, 83, 76, 75, 85, 99, 79, 95, 83]",Rose Garden
Iluminada Paraiso,6717384369111,9219244991,iluminadaparaiso@pnhs.edu.ph,PARAISO,Tom Flestado,"[80, 98, 89, 92, 97, 88, 92, 75, 78]",Rose Garden
Bryan Soriano,6717381985329,9214295702,bryansoriano@pnhs.edu.ph,SORIANO,Tom Flestado,"[77, 97, 79, 92, 76, 86, 93, 92, 79]",Rose Garden
Melchor Casupanan,6717388749313,9398404630,melchorcasupanan@pnhs.edu.ph,CASUPANAN,Tom Flestado,"[88, 79, 76, 84, 86, 100, 76, 86, 81]",Rose Garden
Francesca Delos Santos,6717386947451,9266763004,francescadelossantos@pnhs.edu.ph,DELOS SANTOS,Allen Balinbin,"[96, 82, 96, 78, 86, 99, 92, 88, 94]",Sunflower Field
Karla Rivera,6717383713421,9476982233,karlarivera@pnhs.edu.ph,RIVERA,Allen Balinbin,"[98, 79, 82, 80, 100, 100, 80, 88, 75]",Sunflower Field
Jomar Lacson,6717383513388,9675841667,jomarlacson@pnhs.edu.ph,LACSON,Allen Balinbin,"[80, 98, 85, 100, 88, 100, 96, 98, 100]",Sunflower Field
Warlito Badayos,6717383310848,9196045389,warlitobadayos@pnhs.edu.ph,BADAYOS,Allen Balinbin,"[82, 83, 80, 100, 97, 78, 87, 76, 90]",Sunflower Field
Trisha Navarro,6717382026374,9666990701,trishanavarro@pnhs.edu.ph,NAVARRO,Allen Balinbin,"[82, 81, 89, 86, 84, 100, 82, 82, 75]",Sunflower Field
Hazel Dela Torre,6717386402380,9208193409,hazeldelatorre@pnhs.edu.ph,DELA TORRE,Allen Balinbin,"[96, 81, 87, 85, 83, 77, 99, 83, 86]",Sunflower Field
Xandra Gatdula,6717381460134,9394465127,xandragatdula@pnhs.edu.ph,GATDULA,Allen Balinbin,"[95, 91, 87, 96, 92, 85, 75, 78, 83]",Sunflower Field
Juan dela Cruz,6717385737762,9305078740,juandelacruz@pnhs.edu.ph,DELA CRUZ,Allen Balinbin,"[80, 93, 83, 76, 78, 94, 88, 86, 98]",Sunflower Field
Teresita Bulatao,6717381301826,9276325947,teresitabulatao@pnhs.edu.ph,BULATAO,Allen Balinbin,"[100, 85, 88, 94, 91, 78, 87, 93, 81]",Sunflower Field
Gregorio Maceda,6717387782753,9615427078,gregoriomaceda@pnhs.edu.ph,MACEDA,Allen Balinbin,"[83, 76, 97, 88, 75, 91, 100, 92, 96]",Sunflower Field
Yñigo Manalastas,6717380750405,9481414404,yñigomanalastas@pnhs.edu.ph,MANALASTAS,Allen Balinbin,"[98, 98, 98, 96, 81, 86, 88, 77, 96]",Sunflower Field
Glenda Samaniego,6717381161032,9199867781,glendasamaniego@pnhs.edu.ph,SAMANIEGO,Allen Balinbin,"[85, 94, 85, 96, 78, 98, 84, 91, 84]",Sunflower Field
Daniel Dimaculangan,6717384394047,9676577357,danieldimaculangan@pnhs.edu.ph,DIMACULANGAN,Allen Balinbin,"[96, 88, 85, 87, 97, 84, 92, 79, 81]",Sunflower Field
Kenneth Velasquez,6717388699441,9775598905,kennethvelasquez@pnhs.edu.ph,VELASQUEZ,Allen Balinbin,"[88, 96, 87, 96, 98, 80, 94, 93, 84]",Sunflower Field
Salvacion Bilbao,6717389571456,9774720602,salvacionbilbao@pnhs.edu.ph,BILBAO,Allen Balinbin,"[87, 92, 75, 84, 84, 81, 88, 100, 93]",Sunflower Field
Christine Mendoza,6717388219144,9473821630,christinemendoza@pnhs.edu.ph,MENDOZA,Allen Balinbin,"[94, 95, 85, 89, 89, 89, 96, 81, 91]",Sunflower Field
Melanie Caguioa,6717388799568,9264881061,melaniecaguioa@pnhs.edu.ph,CAGUIOA,Allen Balinbin,"[90, 100, 100, 98, 80, 96, 77, 84, 91]",Sunflower Field
Carlo Reyes,6717380183572,9613347331,carloreyes@pnhs.edu.ph,REYES,Allen Balinbin,"[96, 95, 94, 85, 77, 99, 82, 96, 84]",Sunflower Field
Clarissa Pimentel,6717384225792,9173037407,clarissapimentel@pnhs.edu.ph,PIMENTEL,Allen Balinbin,"[82, 100, 81, 79, 75, 76, 82, 90, 94]",Sunflower Field
Ximena Halili,6717388468752,9554412768,ximenahalili@pnhs.edu.ph,HALILI,Allen Balinbin,"[99, 77, 89, 88, 95, 93, 81, 97, 97]",Sunflower Field
Daryl Ignacio,6717384986520,9195443110,darylignacio@pnhs.edu.ph,IGNACIO,Allen Balinbin,"[87, 90, 87, 82, 79, 95, 97, 75, 99]",Sunflower Field
Liza Enriquez,6717387977732,9199320482,lizaenriquez@pnhs.edu.ph,ENRIQUEZ,Allen Balinbin,"[99, 78, 99, 88, 82, 80, 100, 97, 91]",Sunflower Field
Kristoffer Bagaybagayan,6717389528233,9193757228,kristofferbagaybagayan@pnhs.edu.ph,BAGAYBAGAYAN,Allen Balinbin,"[89, 76, 92, 82, 78, 89, 79, 100, 89]",Sunflower Field
Jerome Garcia,6717388947275,9268226572,jeromegarcia@pnhs.edu.ph,GARCIA,Allen Balinbin,"[96, 91, 92, 94, 85, 99, 89, 94, 98]",Sunflower Field
Lilibeth Agonoy,6717389803603,9773100970,lilibethagonoy@pnhs.edu.ph,AGONOY,Allen Balinbin,"[91, 88, 92, 89, 80, 98, 90, 89, 83]",Sunflower Field
Katelyn Rebullar,6717388824729,9305774901,katelynrebullar@pnhs.edu.ph,REBULLAR,Allen Balinbin,"[99, 82, 95, 83, 99, 99, 91, 90, 95]",Sunflower Field
Adrian Padilla,6717388943725,9177353136,adrianpadilla@pnhs.edu.ph,PADILLA,Allen Balinbin,"[82, 83, 89, 77, 97, 84, 82, 83, 85]",Sunflower Field
Perfecto Daclan,6717381336386,9672774772,perfectodaclan@pnhs.edu.ph,DACLAN,Allen Balinbin,"[85, 92, 77, 79, 79, 82, 87, 97, 79]",Sunflower Field
Aldrin Manalo,6717385130072,9194613512,aldrinmanalo@pnhs.edu.ph,MANALO,Allen Balinbin,"[97, 81, 77, 88, 88, 85, 92, 89, 88]",Sunflower Field
Ferdinand Balboa,6717386307195,9491344557,ferdinandbalboa@pnhs.edu.ph,BALBOA,Allen Balinbin,"[76, 81, 88, 87, 99, 93, 97, 75, 99]",Sunflower Field
Honoria Balangue,6717385469347,9278086797,honoriabalangue@pnhs.edu.ph,BALANGUE,Allen Balinbin,"[93, 87, 90, 75, 86, 84, 99, 87, 88]",Sunflower Field
Miguel Ramos,6717384556971,9179120941,miguelramos@pnhs.edu.ph,RAMOS,Allen Balinbin,"[92, 98, 98, 92, 100, 94, 82, 90, 82]",Sunflower Field
Lovely Fernandez,6717381949674,9616262341,lovelyfernandez@pnhs.edu.ph,FERNANDEZ,Allen Balinbin,"[83, 88, 90, 75, 87, 85, 96, 96, 100]",Sunflower Field
Marisol Tabora,6717383425042,9496182333,marisoltabora@pnhs.edu.ph,TABORA,Allen Balinbin,"[87, 98, 80, 89, 79, 94, 92, 75, 87]",Sunflower Field
Kevin Villanueva,6717387423759,9393440208,kevinvillanueva@pnhs.edu.ph,VILLANUEVA,Allen Balinbin,"[93, 93, 96, 75, 77, 95, 88, 79, 89]",Sunflower Field
Veronica Canlas,6717389134169,9177957904,veronicacanlas@pnhs.edu.ph,CANLAS,Allen Balinbin,"[80, 76, 83, 87, 85, 81, 89, 85, 85]",Sunflower Field
Elbert Tungol,6717389116065,9484397378,elberttungol@pnhs.edu.ph,TUNGOL,Allen Balinbin,"[99, 87, 83, 99, 88, 83, 77, 90, 75]",Sunflower Field
Nestor Palaganas,6717382600030,9672430742,nestorpalaganas@pnhs.edu.ph,PALAGANAS,Allen Balinbin,"[98, 92, 76, 86, 82, 95, 77, 99, 95]",Sunflower Field
Ulysses Abrera,6717387624207,9279726830,ulyssesabrera@pnhs.edu.ph,ABRERA,Allen Balinbin,"[76, 99, 75, 82, 81, 75, 94, 79, 82]",Sunflower Field
Teodoro Bañaga,6717381959667,9493156873,teodorobanaga@pnhs.edu.ph,BAÑAGA,Allen Balinbin,"[79, 90, 96, 78, 93, 81, 89, 97, 83]",Sunflower Field
Fatima Alcantara,6717385651136,9471234454,fatimaalcantara@pnhs.edu.ph,ALCANTARA,Sid Serrano,"[99, 86, 80, 94, 94, 98, 97, 78, 99]",Gumamela Grove
Ana Bautista,6717387922005,9177925624,anabautista@pnhs.edu.ph,BAUTISTA,Sid Serrano,"[80, 84, 78, 93, 75, 84, 93, 96, 87]",Gumamela Grove
Yolanda Bugayong,6717387361379,9295440225,yolandabugayong@pnhs.edu.ph,BUGAYONG,Sid Serrano,"[87, 97, 81, 77, 93, 97, 95, 82, 78]",Gumamela Grove
Urbano Cadelina,6717384262781,9391411221,urbanocadelina@pnhs.edu.ph,CADELINA,Sid Serrano,"[97, 99, 84, 96, 94, 100, 78, 100, 93]",Gumamela Grove
Abegail Tolosa,6717385676101,9677629548,abegailtolosa@pnhs.edu.ph,TOLOSA,Sid Serrano,"[100, 76, 86, 92, 88, 96, 86, 77, 91]",Gumamela Grove
Jericho Solidum,6717381367420,9218402030,jerichosolidum@pnhs.edu.ph,SOLIDUM,Sid Serrano,"[95, 85, 75, 88, 90, 78, 88, 86, 95]",Gumamela Grove
Zeus Daquigan,6717389009696,9559669573,zeusdaquigan@pnhs.edu.ph,DAQUIGAN,Sid Serrano,"[89, 97, 79, 88, 80, 98, 91, 95, 83]",Gumamela Grove
Nicole Cruz,6717381748312,9673898414,nicolecruz@pnhs.edu.ph,CRUZ,Sid Serrano,"[94, 100, 92, 99, 90, 89, 88, 98, 93]",Gumamela Grove
Herminia Cabrera,6717384202910,9181834056,herminiacabrera@pnhs.edu.ph,CABRERA,Sid Serrano,"[83, 85, 82, 77, 83, 89, 82, 99, 89]",Gumamela Grove
Sheila Morales,6717389463763,9272984256,sheilamorales@pnhs.edu.ph,MORALES,Sid Serrano,"[93, 94, 96, 87, 85, 75, 90, 85, 80]",Gumamela Grove
Bernadette Sto. Tomas,6717383072337,9285073567,bernadettestotomas@pnhs.edu.ph,STO. TOMAS,Sid Serrano,"[90, 81, 86, 100, 83, 85, 83, 94, 97]",Gumamela Grove
Joanna Baluyot,6717385663955,9172582976,joannabaluyot@pnhs.edu.ph,BALUYOT,Sid Serrano,"[83, 92, 75, 91, 81, 77, 82, 98, 88]",Gumamela Grove
Diana Poblete,6717381400378,9671743513,dianapoblete@pnhs.edu.ph,POBLETE,Sid Serrano,"[90, 92, 99, 82, 97, 90, 95, 97, 90]",Gumamela Grove
Lourdes Cabral,6717388210706,9217376325,lourdescabral@pnhs.edu.ph,CABRAL,Sid Serrano,"[89, 100, 75, 77, 84, 82, 87, 97, 82]",Gumamela Grove
Zenaida Campomanes,6717382351995,9309680450,zenaidacampomanes@pnhs.edu.ph,CAMPOMANES,Sid Serrano,"[84, 96, 93, 86, 90, 92, 91, 86, 88]",Gumamela Grove
Maricel Buenaventura,6717386691729,9481639966,maricelbuenaventura@pnhs.edu.ph,BUENAVENTURA,Sid Serrano,"[98, 92, 85, 86, 97, 89, 83, 84, 83]",Gumamela Grove
Wendell Policarpio,6717384360526,9277448772,wendellpolicarpio@pnhs.edu.ph,POLICARPIO,Sid Serrano,"[82, 78, 98, 81, 85, 78, 98, 92, 99]",Gumamela Grove
Vanessa Gutierrez,6717382502183,9493016770,vanessagutierrez@pnhs.edu.ph,GUTIERREZ,Sid Serrano,"[97, 80, 81, 81, 98, 90, 83, 98, 93]",Gumamela Grove
Emilio Salazar,6717384470688,9301758883,emiliosalazar@pnhs.edu.ph,SALAZAR,Sid Serrano,"[99, 91, 94, 84, 78, 81, 84, 82, 86]",Gumamela Grove
Desiree Lapuz,6717386708516,9218422382,desireelapuz@pnhs.edu.ph,LAPUZ,Sid Serrano,"[80, 84, 75, 97, 92, 79, 83, 76, 76]",Gumamela Grove
Babylyn Sabado,6717384085551,9191114393,babylynsabado@pnhs.edu.ph,SABADO,Sid Serrano,"[92, 84, 97, 79, 95, 99, 90, 78, 75]",Gumamela Grove
Alvin Panganiban,6717384514345,9209598318,alvinpanganiban@pnhs.edu.ph,PANGANIBAN,Sid Serrano,"[93, 84, 90, 90, 89, 85, 80, 76, 83]",Gumamela Grove
Leonardo Batungbakal,6717384915766,9183704551,leonardobatungbakal@pnhs.edu.ph,BATUNGBAKAL,Sid Serrano,"[90, 78, 77, 87, 90, 77, 93, 95, 96]",Gumamela Grove
Estrella Liwanag,6717387174488,9191653333,estrellaliwanag@pnhs.edu.ph,LIWANAG,Sid Serrano,"[76, 79, 79, 100, 93, 84, 77, 82, 78]",Gumamela Grove
Renz Aquino,6717389222879,9674332530,renzaquino@pnhs.edu.ph,AQUINO,Sid Serrano,"[92, 99, 88, 94, 94, 100, 94, 82, 99]",Gumamela Grove
Kristine Ocampo,6717385739044,9662899732,kristineocampo@pnhs.edu.ph,OCAMPO,Sid Serrano,"[91, 87, 89, 89, 84, 93, 88, 84, 93]",Gumamela Grove
Lorenz Bagasina,6717389878529,9291762487,lorenzbagasina@pnhs.edu.ph,BAGASINA,Sid Serrano,"[94, 76, 94, 98, 78, 99, 81, 95, 81]",Gumamela Grove
Angelica Catalan,6717387417845,9777245345,angelicacatalan@pnhs.edu.ph,CATALAN,Sid Serrano,"[83, 96, 77, 80, 82, 80, 92, 77, 80]",Gumamela Grove
Florencia Banaag,6717385514687,9293070059,florenciabanaag@pnhs.edu.ph,BANAAG,Sid Serrano,"[75, 88, 89, 97, 94, 90, 84, 76, 82]",Gumamela Grove
Gino Lumabao,6717389720965,9677688176,ginolumabao@pnhs.edu.ph,LUMABAO,Sid Serrano,"[84, 97, 84, 97, 89, 77, 96, 82, 83]",Gumamela Grove
Napoleon Sibayan,6717387731840,9302416077,napoleonsibayan@pnhs.edu.ph,SIBAYAN,Sid Serrano,"[100, 100, 95, 93, 96, 100, 81, 88, 78]",Gumamela Grove
Katrina Almendras,6717388693104,9394075412,katrinaalmendras@pnhs.edu.ph,ALMENDRAS,Sid Serrano,"[92, 82, 95, 79, 83, 79, 77, 76, 80]",Gumamela Grove
Rodrigo Sumagaysay,6717383531771,9664757602,rodrigosumagaysay@pnhs.edu.ph,SUMAGAYSAY,Sid Serrano,"[100, 84, 94, 98, 93, 84, 89, 78, 89]",Gumamela Grove
Conrado Villacorta,6717381529256,9272332546,conradovillacorta@pnhs.edu.ph,VILLACORTA,Sid Serrano,"[97, 84, 97, 87, 83, 91, 92, 90, 89]",Gumamela Grove
Filomena Gatpandan,6717384282533,9202736406,filomenagatpandan@pnhs.edu.ph,GATPANDAN,Sid Serrano,"[77, 94, 76, 88, 98, 85, 94, 83, 75]",Gumamela Grove
Juanito Macalintal,6717382100421,9209040953,juanitomacalintal@pnhs.edu.ph,MACALINTAL,Sid Serrano,"[77, 82, 96, 93, 93, 75, 99, 96, 83]",Gumamela Grove
Oscar Tagalog,6717388458096,9664959029,oscartagalog@pnhs.edu.ph,TAGALOG,Sid Serrano,"[93, 76, 99, 99, 80, 90, 91, 95, 89]",Gumamela Grove
Danilo Evangelista,6717386399972,9181817575,daniloevangelista@pnhs.edu.ph,EVANGELISTA,Sid Serrano,"[83, 80, 93, 88, 95, 90, 77, 90, 86]",Gumamela Grove
Olivia Lumba,6717388047445,9562710216,olivialumba@pnhs.edu.ph,LUMBA,Sid Serrano,"[88, 85, 85, 96, 78, 80, 85, 88, 97]",Gumamela Grove
Bianca Magsaysay,6717388852004,9394001481,biancamagsaysay@pnhs.edu.ph,MAGSAYSAY,Sid Serrano,"[90, 84, 96, 87, 99, 92, 76, 89, 77]",Gumamela Grove
Jerme Cyrus,6717381234567,9676767676,jerme@pnhs.edu.ph,jerme123456!,Jerryme Cyrus San Diego,"[85, 82, 81, 82, 99, 85, 77, 87, 95]",Daisy MeadowLavender Lane
Sid,671738,9692218507,sid@pnhs.edu.ph,Pnhs.account1,Dustin Casuga,"[70, 70, 70, 70, 70, 70, 70, 70, 70]",Rose Garden
sidethan@pnhs.edu.ph,67173800000000,9692218508,sidethan@pnhs.edu.ph,Pnhsaccount.1,Seanken Padilla,"[77, 83, 88, 88, 87, 75, 79, 82, 78]",Peony Pavilion
sidethan,671738923113,9693318507,sidsid@pnhs.edu.ph,Pnhsaccount.3,Cranier Ygot,"[86, 94, 81, 84, 90, 77, 87, 94, 100]",Tulip Terrace
